                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4786,                 2.9478,                 1.7393,                0.00354,                      1,                0.38461,                0.23698,                 1.4631,                  3.236,                 1.9566,             0.00036674,             0.00036674,             0.00036674
                      1,                 1.3343,                 2.0451,                 1.5906,                0.79507,                 0.1977,                0.38749,                0.23356,                  1.708,                 3.1775,                  2.173,             0.00074272,             0.00074272,             0.00074272
                      2,                 1.4068,                 1.9662,                 1.6337,                0.68299,                0.55081,                0.57413,                0.32498,                 1.5165,                 2.3786,                 2.2255,              0.0011111,              0.0011111,              0.0011111
                      3,                 1.3439,                 1.8427,                 1.5519,                0.79715,                0.27273,                 0.2952,                0.13561,                 1.8531,                 4.0136,                 2.8765,              0.0014719,              0.0014719,              0.0014719
                      4,                 1.3337,                 1.7358,                  1.546,                0.42227,                0.45909,                0.37783,                0.19873,                 1.4763,                 3.8733,                 2.0385,               0.001601,               0.001601,               0.001601
                      5,                 1.3436,                 1.6938,                 1.5095,                0.81629,                0.36364,                0.44015,                0.27596,                 1.4813,                 3.5457,                 2.1698,               0.001601,               0.001601,               0.001601
                      6,                 1.3417,                 1.5656,                 1.5166,                0.53134,                0.56818,                0.60916,                0.26958,                 1.6644,                 2.9632,                 2.2368,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3693,                 1.5079,                 1.5265,                0.46055,                0.28182,                0.32096,                0.13216,                 2.4446,                 3.0009,                  3.095,               0.001568,               0.001568,               0.001568
                      8,                 1.3095,                 1.3605,                 1.4829,                0.77149,                0.43182,                0.57016,                0.28223,                 1.5477,                 2.9101,                  2.084,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2628,                 1.3371,                 1.4609,                0.63168,                0.71064,                 0.6898,                 0.3851,                 1.5312,                 2.0472,                 1.9488,               0.001535,               0.001535,               0.001535
                     10,                 1.2629,                 1.3335,                 1.4751,                0.74929,                0.66364,                0.78378,                0.43864,                 1.4984,                 1.6356,                 1.9445,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2227,                 1.2409,                 1.4296,                0.73224,                   0.65,                0.64768,                 0.3567,                 1.7006,                 1.9282,                 2.3519,               0.001502,               0.001502,               0.001502
                     12,                 1.2468,                 1.2799,                 1.4364,                0.75105,                0.67909,                0.75053,                0.46078,                 1.2835,                 1.5293,                 1.6846,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2445,                 1.1725,                 1.4228,                0.63212,                    0.9,                0.77019,                0.42135,                 1.3902,                 1.6468,                 1.8171,               0.001469,               0.001469,               0.001469
                     14,                 1.2117,                 1.1193,                 1.4048,                0.74463,                0.80909,                0.77034,                0.42295,                 1.5583,                  1.454,                 2.0522,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1581,                 1.0473,                 1.3696,                0.75868,                0.69042,                0.73896,                0.45336,                 1.4769,                 1.2842,                 1.9208,               0.001436,               0.001436,               0.001436
                     16,                 1.1725,                 1.1065,                 1.4162,                0.72084,                 0.8023,                0.81469,                0.48042,                 1.4602,                 1.1909,                 1.8771,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.163,                 1.0696,                 1.3948,                0.60357,                0.80455,                0.79034,                0.43799,                 1.3904,                 1.3298,                 1.8329,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1671,                 1.0027,                 1.3558,                0.82037,                0.73197,                0.84584,                0.49923,                 1.4845,                 1.0687,                 1.8253,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1788,                 1.0426,                 1.3802,                0.53643,                0.75455,                0.73857,                0.46867,                 1.2976,                 1.1739,                 1.7691,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1497,                   1.03,                 1.3693,                0.57159,                0.60455,                0.63093,                0.40174,                 1.4756,                 1.4463,                 1.9779,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1647,                0.96877,                 1.3695,                0.67599,                0.68552,                0.63417,                0.37764,                  1.483,                 1.7006,                 2.0167,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2352,                 1.0223,                 1.4285,                0.75185,                 0.7376,                0.68019,                0.41524,                 1.4331,                 1.3942,                 1.9007,              0.0013204,              0.0013204,              0.0013204
